Date,Reference No,Project Code,Customer Code,Warehouse Code,Product Code,Expiry Date,Unit Price,Net Unit Price,Quantity,Variant ID,Product Discount,Product Tax,Order Discount,Shipping,Order Tax,Payment Term,Sale Status
18/07/2018 11:10,SALE/1807/00004,CUS00001,CUS00002,WH1,channa1,,1,1,1,0,0,NT,1.31,10,VAT10,0,completed
18/07/2018 11:10,SALE/1807/00004,CUS00001,CUS00002,WH1,channa2,,2,1.8182,2,0,0,VAT10,1.31,10,VAT10,0,completed
18/07/2018 11:10,SALE/1807/00004,CUS00001,CUS00002,WH1,channa3,,3,2.7,3,0,0.9,NT,1.31,10,VAT10,0,completed
18/07/2018 10:56,SALE/1807/00003,CUS00001,CUS00002,WH1,channa1,,2,2,2,0,0,NT,0,0,NT,0,completed
18/07/2018 10:56,SALE/1807/00003,CUS00001,CUS00002,WH1,channa2,,2,1.8,2,0,0.4,NT,0,0,NT,0,completed
18/07/2018 08:53,SALE/1807/00002,CUS00001,CUS00003,WH1,channa1,,2,1.5,10,0,5,NT,5.5,0,NT,0,completed
18/07/2018 08:53,SALE/1807/00002,CUS00001,CUS00003,WH1,channa2,,2,2,10,0,0,NT,5.5,0,NT,0,completed
18/07/2018 08:53,SALE/1807/00002,CUS00001,CUS00003,WH1,channa3,,2,2,10,0,0,NT,5.5,0,NT,0,completed
18/07/2018 08:52,SALE/1807/00001,CUS00001,CUS00003,WH1,channa1,,2,1.5,10,0,5,NT,0,0,NT,0,completed
18/07/2018 08:52,SALE/1807/00001,CUS00001,CUS00003,WH1,channa2,,2,2,10,0,0,NT,0,0,NT,0,completed
18/07/2018 08:52,SALE/1807/00001,CUS00001,CUS00003,WH1,channa3,,2,2,10,0,0,NT,0,0,NT,0,completed
